uid,strategy,metric,score,metric_logical
2a0acd9bd535c8d1555642ff47c732d4,same_obvious,LLMJudge-qwen3_32b-seed42,0.8770833333333333,LLMJudge
2a0acd9bd535c8d1555642ff47c732d4,same_obvious,LLMJudge-qwen3_32b-seed42,0.875,LLMJudge
ecf022597d3cab9575117ef24fe97406,same_obvious,LLMJudge-qwen3_32b-seed42,0.9375,LLMJudge
3206cf67635a5ffccd10a1d3189db638,same_obvious,LLMJudge-qwen3_32b-seed42,0.7848958333333333,LLMJudge
a9b7430ccffa4f2f9c57dc2169c8a665,same_obvious,LLMJudge-qwen3_32b-seed42,0.90625,LLMJudge
ecf022597d3cab9575117ef24fe97406,same_obvious,LLMJudge-qwen3_32b-seed42,0.8125,LLMJudge
3669aa9b198a80a2be12cfd072637b2a,same_obvious,LLMJudge-qwen3_32b-seed42,0.9204861111111111,LLMJudge
3669aa9b198a80a2be12cfd072637b2a,same_obvious,LLMJudge-qwen3_32b-seed42,0.9444444444444444,LLMJudge
87ccd97c236471c1f39ade43a7bffda2,same_obvious,LLMJudge-qwen3_32b-seed42,0.975,LLMJudge
87ccd97c236471c1f39ade43a7bffda2,same_obvious,LLMJudge-qwen3_32b-seed42,0.715625,LLMJudge
3669aa9b198a80a2be12cfd072637b2a,same_obvious,LLMJudge-qwen3_32b-seed42,0.8368055555555556,LLMJudge
87ccd97c236471c1f39ade43a7bffda2,same_obvious,LLMJudge-qwen3_32b-seed42,0.975,LLMJudge
65f0aa2af23948f27b05e2f8664780cd,same_obvious,LLMJudge-qwen3_32b-seed42,0.7994791666666666,LLMJudge
87ccd97c236471c1f39ade43a7bffda2,same_obvious,LLMJudge-qwen3_32b-seed42,0.715625,LLMJudge
e3c55133670bf57b312552a88b185d48,same_obvious,LLMJudge-qwen3_32b-seed42,0.9791666666666666,LLMJudge
3e4716df00472cd23c669d4ac629ac57,same_obvious,LLMJudge-qwen3_32b-seed42,0.7847222222222222,LLMJudge
7deb88a6f0a6dc7a63e6b95ae6b72d2c,same_obvious,LLMJudge-qwen3_32b-seed42,0.96875,LLMJudge
87ccd97c236471c1f39ade43a7bffda2,same_obvious,LLMJudge-qwen3_32b-seed42,0.7145833333333333,LLMJudge
ecf022597d3cab9575117ef24fe97406,same_obvious,LLMJudge-qwen3_32b-seed42,0.90625,LLMJudge
8926974c96533a1af0a2a24bab42e8c9,same_obvious,LLMJudge-qwen3_32b-seed42,0.8161458333333333,LLMJudge
65f0aa2af23948f27b05e2f8664780cd,same_obvious,LLMJudge-qwen3_32b-seed42,0.7994791666666666,LLMJudge
ff3ca20062474bb3839f9ad89802fca3,same_obvious,LLMJudge-qwen3_32b-seed42,0.9375,LLMJudge
7deb88a6f0a6dc7a63e6b95ae6b72d2c,same_obvious,LLMJudge-qwen3_32b-seed42,0.96875,LLMJudge
3e4716df00472cd23c669d4ac629ac57,same_obvious,LLMJudge-qwen3_32b-seed42,0.9652777777777778,LLMJudge
3e4716df00472cd23c669d4ac629ac57,same_obvious,LLMJudge-qwen3_32b-seed42,0.9652777777777778,LLMJudge
8926974c96533a1af0a2a24bab42e8c9,same_obvious,LLMJudge-qwen3_32b-seed42,0.8786458333333333,LLMJudge
a334fc23bfa3455dc3342a79729df868,same_obvious,LLMJudge-qwen3_32b-seed42,0.9375,LLMJudge
62cd1ffdd6296220fde591628ea23af8,same_obvious,LLMJudge-qwen3_32b-seed42,0.7802083333333334,LLMJudge
3206cf67635a5ffccd10a1d3189db638,same_obvious,LLMJudge-qwen3_32b-seed42,0.9098958333333333,LLMJudge
ecf022597d3cab9575117ef24fe97406,same_obvious,LLMJudge-qwen3_32b-seed42,0.875,LLMJudge
2a0acd9bd535c8d1555642ff47c732d4,same_obvious,DNAEval-qwen3_32b-seed42,0.7012987012987013,DNAEval
2a0acd9bd535c8d1555642ff47c732d4,same_obvious,DNAEval-qwen3_32b-seed42,0.8376623376623378,DNAEval
ecf022597d3cab9575117ef24fe97406,same_obvious,DNAEval-qwen3_32b-seed42,0.7775974025974026,DNAEval
3206cf67635a5ffccd10a1d3189db638,same_obvious,DNAEval-qwen3_32b-seed42,0.8198051948051946,DNAEval
a9b7430ccffa4f2f9c57dc2169c8a665,same_obvious,DNAEval-qwen3_32b-seed42,0.3474025974025974,DNAEval
ecf022597d3cab9575117ef24fe97406,same_obvious,DNAEval-qwen3_32b-seed42,0.9853896103896103,DNAEval
3669aa9b198a80a2be12cfd072637b2a,same_obvious,DNAEval-qwen3_32b-seed42,0.8560606060606062,DNAEval
3669aa9b198a80a2be12cfd072637b2a,same_obvious,DNAEval-qwen3_32b-seed42,0.8820346320346321,DNAEval
87ccd97c236471c1f39ade43a7bffda2,same_obvious,DNAEval-qwen3_32b-seed42,0.9720779220779221,DNAEval
87ccd97c236471c1f39ade43a7bffda2,same_obvious,DNAEval-qwen3_32b-seed42,0.9818181818181819,DNAEval
3669aa9b198a80a2be12cfd072637b2a,same_obvious,DNAEval-qwen3_32b-seed42,0.6093073593073594,DNAEval
87ccd97c236471c1f39ade43a7bffda2,same_obvious,DNAEval-qwen3_32b-seed42,0.6863636363636364,DNAEval
65f0aa2af23948f27b05e2f8664780cd,same_obvious,DNAEval-qwen3_32b-seed42,0.7142857142857144,DNAEval
87ccd97c236471c1f39ade43a7bffda2,same_obvious,DNAEval-qwen3_32b-seed42,0.9857142857142857,DNAEval
